Referencia interna;Nombre;Precio de venta;Cantidad a mano;Unidad de medida
BA0IDAORDADRSK020--S;BATA IDA MUJER DRY SKYN (COLOR: MARINO/TALLA: S);49.00;0;Unidades
BA0IDAORDADRSK020-XL;BATA IDA MUJER DRY SKYN (COLOR: MARINO/TALLA: XL);49.00;0;Unidades
BA0IDAORDADRSK020-XS;BATA IDA MUJER DRY SKYN (COLOR: MARINO/TALLA: XS);49.00;0;Unidades
BA0IDAORDADRSK020XXL;BATA IDA MUJER DRY SKYN (COLOR: MARINO/TALLA: XXL);49.00;0;Unidades
BA0IDAORDADRSK001--L;BATA IDA MUJER DRY SKYN (COLOR: NEGRO/TALLA: L);49.00;0;Unidades
BA0IDAORDADRSK001--M;BATA IDA MUJER DRY SKYN (COLOR: NEGRO/TALLA: M);49.00;0;Unidades
BA0IDAORDADRSK001--S;BATA IDA MUJER DRY SKYN (COLOR: NEGRO/TALLA: S);49.00;0;Unidades
BA0IDAORDADRSK001-XL;BATA IDA MUJER DRY SKYN (COLOR: NEGRO/TALLA: XL);49.00;0;Unidades
BA0IDAORDADRSK001-XS;BATA IDA MUJER DRY SKYN (COLOR: NEGRO/TALLA: XS);49.00;0;Unidades
BA0IDAORDADRSK001XXL;BATA IDA MUJER DRY SKYN (COLOR: NEGRO/TALLA: XXL);49.00;0;Unidades
BAITALORDAMARI020--L;BATA ITALY MUJER MARIN (COLOR: MARINO/TALLA: L);49.00;0;Unidades
BAITALORDAMARI020--M;BATA ITALY MUJER MARIN (COLOR: MARINO/TALLA: M);49.00;0;Unidades
BAITALORDAMARI020--S;BATA ITALY MUJER MARIN (COLOR: MARINO/TALLA: S);49.00;0;Unidades
BAITALORDAMARI020-XL;BATA ITALY MUJER MARIN (COLOR: MARINO/TALLA: XL);49.00;0;Unidades
BAITALORDAMARI020-XS;BATA ITALY MUJER MARIN (COLOR: MARINO/TALLA: XS);49.00;0;Unidades
BAITALORDAMARI020XXL;BATA ITALY MUJER MARIN (COLOR: MARINO/TALLA: XXL);49.00;0;Unidades
BLSQXW00L;BATA LISBOA QX WIN (COLOR: BLANCO/TALLA: L);49.00;0;Unidades
BLSQXW00M;BATA LISBOA QX WIN (COLOR: BLANCO/TALLA: M);49.00;2;Unidades
BLSQXW00S;BATA LISBOA QX WIN (COLOR: BLANCO/TALLA: S);49.00;10;Unidades
BLSQXW00XL;BATA LISBOA QX WIN (COLOR: BLANCO/TALLA: XL);49.00;0;Unidades
BLSQXW00XS;BATA LISBOA QX WIN (COLOR: BLANCO/TALLA: XS);49.00;7;Unidades
BLSQXW00XXL;BATA LISBOA QX WIN (COLOR: BLANCO/TALLA: XXL);49.00;0;Unidades
BLSWA00L;BATA LISBOA WIN ANTIBACTERIAL (COLOR: BLANCO/TALLA: L);49.00;13;Unidades
BLSWA00M;BATA LISBOA WIN ANTIBACTERIAL (COLOR: BLANCO/TALLA: M);49.00;29;Unidades
BLSWA00S;BATA LISBOA WIN ANTIBACTERIAL (COLOR: BLANCO/TALLA: S);49.00;29;Unidades
BLSWA00XL;BATA LISBOA WIN ANTIBACTERIAL (COLOR: BLANCO/TALLA: XL);49.00;8;Unidades
BLSWA00XS;BATA LISBOA WIN ANTIBACTERIAL (COLOR: BLANCO/TALLA: XS);49.00;24;Unidades
BLSWA00XXL;BATA LISBOA WIN ANTIBACTERIAL (COLOR: BLANCO/TALLA: XXL);49.00;5;Unidades
BLSW00L;BATA LISBOA WIN (COLOR: BLANCO/TALLA: L);49.00;0;Unidades
BLSW00S;BATA LISBOA WIN (COLOR: BLANCO/TALLA: S);49.00;0;Unidades
BLSW00XS;BATA LISBOA WIN (COLOR: BLANCO/TALLA: XS);49.00;0;Unidades
BLSW00XXL;BATA LISBOA WIN (COLOR: BLANCO/TALLA: XXL);49.00;0;Unidades
BLUDWA00L;BATA LIUNIC MUJER WIN (COLOR: BLANCO/TALLA: L);49.00;0;Unidades
BLUDWA00M;BATA LIUNIC MUJER WIN (COLOR: BLANCO/TALLA: M);49.00;16;Unidades
BLUDWA00S;BATA LIUNIC MUJER WIN (COLOR: BLANCO/TALLA: S);49.00;25;Unidades
BLUDWA00XL;BATA LIUNIC MUJER WIN (COLOR: BLANCO/TALLA: XL);49.00;1;Unidades
BLUDWA00XS;BATA LIUNIC MUJER WIN (COLOR: BLANCO/TALLA: XS);49.00;9;Unidades
BLUDWA00XXL;BATA LIUNIC MUJER WIN (COLOR: BLANCO/TALLA: XXL);49.00;1;Unidades
BLXWA00L;BATA LUXEMBURGO MUJER WIN (COLOR: BLANCO/TALLA: L);49.00;10;Unidades
BLXWA00M;BATA LUXEMBURGO MUJER WIN (COLOR: BLANCO/TALLA: M);49.00;36;Unidades
BLXWA00S;BATA LUXEMBURGO MUJER WIN (COLOR: BLANCO/TALLA: S);49.00;51;Unidades
BLXWA00XL;BATA LUXEMBURGO MUJER WIN (COLOR: BLANCO/TALLA: XL);49.00;12;Unidades
BLXWA00XS;BATA LUXEMBURGO MUJER WIN (COLOR: BLANCO/TALLA: XS);49.00;21;Unidades
BLXWA00XXL;BATA LUXEMBURGO MUJER WIN (COLOR: BLANCO/TALLA: XXL);49.00;4;Unidades
BLXW00L;BATA LUXEMBURGO WIN (COLOR: BLANCO/TALLA: L);49.00;0;Unidades
BLXW00XL;BATA LUXEMBURGO WIN (COLOR: BLANCO/TALLA: XL);49.00;0;Unidades
BLXW00XS;BATA LUXEMBURGO WIN (COLOR: BLANCO/TALLA: XS);49.00;7;Unidades
BLXW00XXL;BATA LUXEMBURGO WIN (COLOR: BLANCO/TALLA: XXL);49.00;0;Unidades
BMNW00L;BATA MANHATTAN WIN (COLOR: BLANCO/TALLA: L);49.00;0;Unidades
